symbol,preselection_score,passed_filters,core_coverage,quality_score,valuation_score,revenue_cagr_3y,fcf_cagr_3y,roic,fcf_margin,debt_to_ebitda,asset_turnover,sector,industry,valuation_method,valuation_context,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_sales,enterprise_to_ebitda,enterprise_to_revenue,fcf_yield,missing_flags
DHI,68.166143,false,5,40.966143,0.600000,0.007612,0.994889,0.124103,0.095867,1.332693,0.965583,CONSUMER CYCLICAL,"RESIDENTIAL CONSTRUCTION",enterprise_multiples,"industry:RESIDENTIAL CONSTRUCTION",40244514816,43721293824,12.579618,11.226822,1.200458,9.790000,1.304000,0.081589,""
JBL,67.658054,false,5,37.258054,0.866667,-0.038029,0.639389,0.358756,0.039326,1.595261,1.607183,TECHNOLOGY,"ELECTRONIC COMPONENTS",enterprise_multiples,"industry:ELECTRONIC COMPONENTS",29051572224,31391760384,36.652290,18.671299,0.889325,13.206000,0.961000,0.040342,""
DIS,67.273451,false,5,36.643323,1.000000,0.045094,1.113760,0.073312,0.106720,2.342468,0.478100,COMMUNICATION SERVICES,"MEDIA",enterprise_multiples,"industry:MEDIA",171057971200,217551962112,13.987700,13.816300,1.790500,11.269000,2.273000,0.058848,""
XYZ,67.122709,false,5,40.424496,0.766667,0.113338,6.810920,0.118542,0.100219,2.625447,0.611726,TECHNOLOGY,"SOFTWARE - INFRASTRUCTURE",enterprise_multiples,"industry:SOFTWARE - INFRASTRUCTURE",36180377600,37410050048,28.352383,12.600205,1.495447,18.068000,1.546000,0.067016,""
EME,67.082763,false,5,39.082763,0.666667,0.153200,0.383985,0.382697,0.070016,0.266792,1.828188,INDUSTRIALS,"ENGINEERING & CONSTRUCTION",enterprise_multiples,"industry:ENGINEERING & CONSTRUCTION",34001911808,33188335616,26.953512,24.058890,2.001711,18.808000,1.954000,0.034978,""
DASH,66.536426,false,5,45.148816,0.193986,0.277257,3.430239,0.080447,0.133119,2.235054,0.697747,CONSUMER CYCLICAL,"INTERNET RETAIL",enterprise_multiples,"sector:CONSUMER CYCLICAL",65381167104,63178166272,70.327100,19.694004,4.766433,51.870000,4.606000,0.027929,""
CTVA,66.358257,false,5,39.726678,0.552632,-0.001032,1.192750,0.084135,0.161772,0.675039,0.406138,BASIC MATERIALS,"AGRICULTURAL INPUTS",enterprise_multiples,"sector:BASIC MATERIALS",56364236800,55071236096,47.891426,20.721148,3.239138,14.496000,3.165000,0.049943,""
INCY,65.214330,false,5,33.214330,1.000000,0.148396,0.142276,0.491915,0.258621,0.028141,0.738899,HEALTHCARE,"BIOTECHNOLOGY",enterprise_multiples,"industry:BIOTECHNOLOGY",18767065088,15241381888,14.711390,10.903335,3.650298,10.586000,2.965000,0.070849,""
LULU,64.174490,false,5,34.923811,0.770890,0.110347,0.411411,0.314791,0.083014,0.664405,1.312870,CONSUMER CYCLICAL,"APPAREL RETAIL",enterprise_multiples,"sector:CONSUMER CYCLICAL",18630178816,18349457408,11.976621,11.970699,1.678001,6.779000,1.653000,0.049472,""
EFX,62.848868,false,5,38.316621,0.642784,0.058485,1.045164,0.085390,0.186731,2.795291,0.512002,INDUSTRIALS,"CONSULTING SERVICES",enterprise_multiples,"sector:INDUSTRIALS",21673211904,26803007488,33.770676,17.350307,3.567900,14.344000,4.412000,0.052336,""
