ticker,report_date,revenue_surprise_pct,post_earnings_return_5d
AVGO,2025-12-11,0.03,0.03
B,2025-05-05,0.226779,-0.021996
B,2025-08-04,0.023519,0.029757
B,2025-11-04,-0.000689,0.130723
B,2026-02-04,0.13798,0.005912
BACHY,2024-08-04,-0.108911,0.022599
BACHY,2025-02-04,-0.009901,0.009909
BACHY,2025-05-05,0,0.051042
BACHY,2026-02-04,10.176752,0.022418
BBY,2025-08-04,0.044126,0.03579
BBY,2025-11-04,0.045837,-0.021293
BBY,2026-02-04,0.059643,-0.02073
BHP,2024-08-04,0.011439,0.009804
BHP,2025-02-04,-0.030104,0.007425
BHP,2025-08-04,-0.04571,0.032539
BHP,2026-02-04,-0.115856,0.040293
BKR,2025-05-05,0.05875,0.03012
BKR,2025-08-04,0.121595,-0.018842
BKR,2025-11-04,0.093072,0.064825
BKR,2026-02-04,0.151292,0.035153
BSX,2025-05-05,0.105542,-0.013143
BSX,2025-08-04,0.02487,-0.037831
BSX,2025-11-04,0.040655,0.03703
BSX,2026-02-04,0.016131,-0.026887
BTU,2025-05-05,5.277056,0.079823
BTU,2025-08-04,-1.310231,0.052002
BTU,2025-11-04,-20.167883,-0.00068
BTU,2026-02-04,3.390244,0.050271
BXC,2025-05-05,0.008592,0.088756
BXC,2025-08-04,-0.246664,0
BXC,2025-11-04,-0.23182,-0.087645
BXC,2026-02-04,-0.101476,-0.00456
CBOE,2025-05-05,0.036656,-0.045539
CBOE,2025-08-04,-0.003887,0.009447
CBOE,2025-11-04,0.035767,0.035923
CBOE,2026-02-04,0.021225,-0.009439
CHEF,2025-05-05,0.267748,0.017119
CHEF,2025-08-04,0.103565,-0.068759
CHEF,2025-11-04,0.173985,-0.008374
CHEF,2026-02-04,0.065497,0.008648
CL,2025-05-05,0.029412,-0.017633
CL,2025-08-04,-0.00325,0.013076
CL,2025-11-04,-0.005464,0.038145
CL,2026-02-04,0.011176,0.009961
CLMT,2025-05-05,-3.465517,0.181982
CLMT,2025-08-04,-4.076142,-0.13268
CLMT,2025-11-04,11.469838,-0.022808
CLMT,2026-02-04,-0.129202,0.048144
CMI,2025-05-05,0.2037,0.093582
CMI,2025-08-04,0.240331,0.073896
CMI,2025-11-04,0.15004,0.110253
CMI,2026-02-04,-0.172144,-0.011112
COR,2025-05-05,0.065985,-0.046546
COR,2025-08-04,0.031539,-0.010012
COR,2025-11-04,0.004105,0.059646
COR,2026-02-04,0.00027,0.108283
COST,2025-08-04,-0.009786,0.034929
COST,2025-11-04,-0.008161,-0.028573
COST,2026-02-04,0.032797,-0.000215
CRM,2025-08-04,0.003735,-0.077838
CRM,2025-11-04,0.037285,-0.039066
CRM,2026-02-04,0.125853,-0.072403
CRSP,2025-05-05,-0.238633,-0.000797
CRSP,2025-08-04,0.109977,-0.070146
CRSP,2025-11-04,0.085723,-0.021273
CRSP,2026-02-04,-0.166454,-0.036875
CTVA,2025-05-05,0.260879,0.088928
CTVA,2025-08-04,0.141434,0.007508
CTVA,2025-11-04,0.576115,0.05152
CTVA,2026-02-04,-0.020917,0.002662
CVS,2025-05-05,0.307607,-0.034128
CVS,2025-08-04,0.22987,0.055818
CVS,2025-11-04,0.156905,0.022925
CVS,2026-02-04,0.088042,0.023658
DAL,2025-05-05,0.192019,0.123709
DAL,2025-08-04,0.012487,0.01866
DAL,2025-11-04,0.105294,0.037556
DAL,2026-02-04,0.005058,0.007903
DASH,2025-05-05,0.108312,-0.064752
DASH,2025-08-04,0.448307,-0.00748
DASH,2025-11-04,-0.219637,-0.163798
DASH,2026-02-04,-0.197056,-0.103968
DECK,2025-05-05,0.628664,0.065495
DECK,2025-08-04,0.332951,-0.044326
DECK,2025-11-04,0.128192,0.039854
DECK,2026-02-04,0.18148,0.027706
DELL,2025-08-04,-0.099622,0.062121
DELL,2025-11-04,-0.011757,-0.10269
DELL,2026-02-04,0.027166,0.017371
DG,2025-08-04,0.166219,0.03254
DG,2025-11-04,0.152059,0.043099
DG,2026-02-04,0.314303,-0.014003
DHI,2025-05-05,-0.02982,0.00374
DHI,2025-08-04,0.154996,0.013592
DHI,2025-11-04,-0.083454,0.009616
DHI,2026-02-04,0.039693,0.038537
DIS,2025-05-05,0.197456,0.199544
DIS,2025-08-04,0.084248,-0.056975
DIS,2025-11-04,0.051535,0.030322
DIS,2026-02-04,0.027613,0.009995
DXCM,2025-05-05,-0.040767,0.059549
DXCM,2025-08-04,0.067616,0.020984
DXCM,2025-11-04,0.053177,-0.049853
DXCM,2026-02-04,-0.321267,-0.037701
EBAY,2025-05-05,0.010767,-0.016356
EBAY,2025-08-04,0.035604,0.026276
EBAY,2025-11-04,0.000074,0.068315
EBAY,2026-02-04,0.032816,-0.034483
EFX,2025-05-05,0.079289,0.05344
EFX,2025-08-04,0.032098,-0.014841
EFX,2025-11-04,0.044761,0.0201
EFX,2026-02-04,0.007715,0.091472
EME,2025-05-05,0.126121,0.0489
EME,2025-08-04,0.1592,-0.023092
EME,2025-11-04,-0.005495,-0.020856
EME,2026-02-04,0.434414,0.140964
EPAM,2025-05-05,0.039734,0.1727
EPAM,2025-08-04,0.040688,-0.009785
EPAM,2025-11-04,-0.002429,0.137015
EPAM,2026-02-04,0.012014,-0.036746
EXPD,2025-05-05,0.049251,0.038561
EXPD,2025-08-04,0.062312,0.000684
EXPD,2025-11-04,0.150877,0.027849
EXPD,2026-02-04,-0.001876,-0.018373
EXPE,2025-05-05,0.209555,0.009842
EXPE,2025-08-04,0.014548,0.0413
EXPE,2025-11-04,0.072739,0.250742
EXPE,2026-02-04,0.104391,-0.012179
FFIV,2025-05-05,0.080091,0.049253
FFIV,2025-08-04,0.165038,-0.009003
FFIV,2025-11-04,0.08462,-0.01189
FFIV,2026-02-04,0.194823,0.022352
FIX,2023-02-21,0.01,0.03
FIX,2023-05-02,0.02,0.04
FIX,2023-08-01,0.01,0.02
FIX,2023-10-31,0.02,0.03
FIX,2024-02-20,0.02,0.03
FIX,2024-04-30,0.01,0.02
FIX,2024-07-30,0.00,0.00
FIX,2024-10-29,0.01,0.01
FIX,2025-02-18,0.02,0.02
FIX,2025-04-29,0.01,0.01
FIX,2025-07-29,0.00,-0.01
FIX,2025-10-28,0.01,0.01
FSLR,2025-05-05,-0.233972,0.228452
FSLR,2025-08-04,0.175383,-0.007033
FSLR,2025-11-04,-0.022636,0.00552
FSLR,2026-02-04,-0.079323,-0.04335
GAU,2025-05-05,-0.752475,0.171642
GAU,2025-08-04,1.110818,0.069444
GAU,2025-11-04,-1.090009,-0.026087
GAU,2026-02-04,0.536885,0.162963
GDDY,2025-05-05,0.075499,0.026456
GDDY,2025-08-04,0.038445,-0.141511
GDDY,2025-11-04,0.012539,-0.025965
GDDY,2026-02-04,0.117943,-0.052346
GRMN,2025-05-05,-0.052328,0.041178
GRMN,2025-08-04,0.122898,0.015342
GRMN,2025-11-04,-0.005597,-0.028182
GRMN,2026-02-04,0.141711,0.006431
HAS,2025-05-05,0.540284,0.071417
HAS,2025-08-04,0.657529,0.008844
HAS,2025-11-04,0.018552,0.032245
HAS,2026-02-04,0.565253,0.096801
HPE,2025-08-04,0.159597,0.028472
HPE,2025-11-04,0.011727,-0.028438
