,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T001,F010,F02S,F02E,F02N,F02R,F030,F040,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,T019
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,National defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Nondefense: Consumption expenditures,Federal nondefense: Gross investment in structures,Federal nondefense: Gross investment in equipment,Federal nondefense: Gross investment in intellectual property products,State and local government consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total use of products
313TT,Textile mills and textile product mills,13,6,---,1,---,---,3272,696,369,---,2,898,0,0,2264,956,3747,1454,122,9146,2102,4176,324,36,3,3056,2027,50,86,5076,1523,---,---,34,26,---,0,17,2,1,245,5,6,---,---,---,---,1,84,374,---,---,478,22,353,363,14,108,392,2001,1211,0,129,1195,468,712,596,430,2,2518,65,53257,107460,---,1996,---,3100,445,9861,---,---,---,---,---,---,3,---,---,---,1,---,176122
315AL,Apparel and leather and allied products,58,---,---,---,---,0,---,---,0,---,---,---,---,---,2279,---,---,186,21,25,858,---,48,0,---,0,311,34,0,99,258,---,---,---,---,---,---,---,---,1,1,7,0,---,---,---,---,---,---,17,---,---,7,1,77,66,5,1,5,---,7,40,53,10,4,1207,226,32,320,1732,34,8027,554679,---,---,---,---,1281,6150,---,---,---,---,---,---,---,---,---,---,---,---,570137
322,Paper products,779,0,149,188,49,31,7089,2001,3311,2579,3316,2141,722,2864,7469,664,2150,2307,34873,494,15,61074,10980,207,6869,6715,10208,330,1789,510,2450,53,55,3,336,1841,42,1491,259,1279,85,425,409,1170,963,2407,2,1,1135,1579,459,780,5013,710,8377,542,667,1942,1720,905,1482,165,353,4802,7538,1616,656,3366,209,20567,98,249826,77920,---,---,---,---,478,25445,---,---,---,---,---,---,---,---,---,---,---,---,353669
323,Printing and related support activities,13,---,10,1,---,9,75,2,---,---,12,3,---,2,4,---,---,---,70,---,0,---,1059,1,73,---,11253,285,165,131,8482,9,9,---,179,183,5,290,13,3585,533,322,4960,953,1834,3849,---,---,183,675,639,401,5690,864,3386,19,717,2190,4408,162,1975,990,364,1061,1551,1733,1431,2173,42,13525,549,83107,14405,---,---,---,---,163,2844,---,---,---,---,---,---,---,---,---,---,---,---,100518
324,Petroleum and coal products,10977,228,4738,2547,1270,21373,67968,750,699,3022,828,1201,233,1374,397,106,240,776,3162,44,1,1366,679,14279,10250,750,4099,1212,399,174,1763,31870,3732,7628,47234,7339,343,13046,3107,257,75,563,764,5425,6482,128,752,42,6047,3085,47,1472,2621,560,8727,2448,2270,2499,1591,868,996,285,1198,801,5435,2231,9939,964,1259,106502,29167,476702,446675,---,---,---,---,4246,173780,---,---,---,---,---,---,---,---,---,---,---,---,1101402
325,Chemical products,40598,1405,11044,2343,1479,1718,31111,10634,6053,2072,10150,2865,2257,4625,15513,1676,2493,6502,12164,12019,134,10583,5917,19257,253609,91442,3148,186,75,39,952,2,186,4,378,41,2,55,483,645,388,646,2288,78,267,219,0,796,14435,238,180,378,102028,6499,15999,2511,1334,78306,29378,4145,832,411,1187,92,2202,4842,4499,5082,85,73256,9462,927916,838804,---,3364,---,---,2872,254098,---,---,---,---,---,---,---,---,---,---,---,---,2027054
326,Plastics and rubber products,2593,91,153,1473,534,28,68290,2373,1629,1001,3381,11132,2663,4227,28893,3119,4122,4699,31403,434,38,3555,3762,264,11888,25050,28353,2236,2208,493,6333,416,5,0,1144,310,68,2359,325,311,123,5189,1535,66,183,2472,0,19,2438,3990,32,2278,11107,140,5096,672,853,16022,7484,2952,2756,88,511,221,13957,5370,6043,1966,18,22209,7157,384303,119612,---,595,---,540,1019,36261,---,---,---,---,---,---,8,---,---,---,---,---,542337
42,Wholesale trade,1312,7,699,63,---,1439,160,370,449,1052,1046,1853,812,2100,4732,28,269,1364,4483,69,28,1388,109,90,3527,4232,49422,4014,816,25,17829,245,---,---,160,0,5,0,---,638,18,2196,103,15,37,23,6,---,---,15750,---,413,---,---,105,50,21,135,39,0,---,---,55,0,131,91,---,---,3,38,---,124064,---,---,---,---,---,---,3687,---,---,---,---,---,---,---,---,---,---,---,---,127751
441,Motor vehicle and parts dealers,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
445,Food and beverage stores,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
452,General merchandise stores,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
4A0,Other retail,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,928,---,567,548,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,---,---,0,---,---,2044,16101,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,18144
481,Air transportation,---,---,1,7,101,445,304,120,153,124,225,125,15,19,138,29,59,61,275,7,1,117,93,24,93,195,6298,199,52,40,467,430,17,211,3255,94,11,1697,383,270,151,313,1564,3347,2424,109,340,2,8877,1570,558,2751,3221,284,3065,378,682,2745,323,267,533,117,276,136,2098,554,6657,4687,499,3044,80,67812,263949,---,---,---,---,---,47412,---,---,---,---,---,---,---,---,---,---,---,---,379173
482,Rail transportation,---,---,---,---,---,135,1,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,1,---,---,0,119,8,7,---,49,0,27,---,4965,---,7,196,7,---,---,146,2,6,5,9,---,---,---,21,26,18,259,2,121,---,---,9,41,---,---,---,---,---,---,15,197,158,791,344,---,7690,1580,---,---,---,---,---,1397,---,---,---,---,---,---,---,---,---,---,---,---,10668
483,Water transportation,---,---,---,---,---,0,0,---,---,---,---,0,---,---,---,---,---,---,---,---,---,---,---,---,0,---,0,0,---,---,---,---,---,---,---,---,9,---,---,---,---,0,---,---,---,---,---,---,---,0,---,---,279,38,0,0,93,0,11,---,0,0,---,---,---,0,2690,190,1407,366,---,5083,31379,---,---,---,---,---,5726,---,---,---,---,---,---,---,---,---,---,---,---,42188
484,Truck transportation,189,---,---,---,87,0,---,99,90,157,313,123,43,58,124,62,74,162,166,42,15,208,58,60,99,226,6048,3496,1361,647,7293,1705,160,115,15781,293,47,5449,1305,68,56,2,394,0,0,11,5,---,---,644,81,118,1338,7,342,66,25,271,485,34,79,44,10,15,256,217,6227,77,1115,456,24,58623,13531,---,---,---,---,---,1773,---,---,---,---,---,---,---,---,---,---,---,---,73927
485,Transit and ground passenger transportation,---,1,2,7,122,924,1698,153,194,161,285,164,19,21,172,36,73,89,361,8,2,152,112,30,122,238,2909,267,10,38,304,3,365,---,0,---,7,302,9,391,177,717,2569,5739,3430,1428,486,9,13887,2362,1054,4678,6534,446,4678,480,1257,5363,6423,1194,641,4215,263,221,3388,773,104,22,26,24758,1802,108873,84240,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,193113
486,Pipeline transportation,---,---,398,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,398,---,---,---,---,---,---,266,---,---,---,---,---,---,---,---,---,---,---,---,664
487OS,Other transportation and support activities,---,61,27,528,5,6475,0,927,1056,147,68,13,0,3,11,0,217,109,481,49,---,727,329,349,139,543,85941,3661,2046,532,21838,33208,1200,5304,63845,2470,1201,42266,6764,1030,878,135,5962,996,6204,126,---,---,---,9381,814,1467,9029,588,3560,2120,441,3764,7354,567,1746,976,1110,153,1908,1790,5,245,1167,1349,4253,351662,25891,---,---,---,---,---,16780,---,---,---,---,---,---,---,---,---,---,---,---,394334
493,Warehousing and storage,1123,---,8,158,---,617,---,1573,2270,119,668,403,368,117,136,110,119,396,4332,1063,236,3123,997,284,2084,3691,44009,15453,8925,4423,40406,108,2,1083,6616,551,493,1411,6983,479,256,460,2146,0,0,41,---,4,1265,1805,230,396,1562,15,9624,441,167,1242,2364,253,343,336,192,723,1874,1058,566,1471,0,9794,236,193800,242,---,---,---,---,---,189,---,---,---,---,---,---,---,---,---,---,---,---,194230
511,"Publishing industries, except internet (includes software)",108,1,40,1,7,345,2128,46,1,23,101,44,55,1,28,163,11,30,12,0,0,9,48,2,21,10,5640,922,82,266,1302,22,88,---,36,23,---,632,145,69771,60,789,4534,749,2434,807,131,0,1577,992,1570,2786,7884,583,3473,48,755,1915,3281,208,1105,87,124,169,240,932,155,2117,21,14726,732,137149,251173,---,---,249160,---,-450,53586,---,---,---,8169,---,---,---,9614,---,---,---,21379,729778
512,Motion picture and sound recording industries,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,113,800,394,---,172,10,---,---,5,---,75,30,0,319,41680,53106,505,63,73,0,---,---,243,235,16,103,4806,510,170,---,792,144,36,1583,2556,776,126,845,7389,600,115,2085,62,978,---,121516,31429,---,---,54914,---,297,19635,---,---,---,---,---,---,---,---,---,---,---,---,227790
513,Broadcasting and telecommunications,427,4,388,78,162,710,6677,254,507,228,892,525,170,145,330,423,138,284,967,50,24,279,296,32,333,358,9455,2120,566,219,4831,1627,56,57,1400,913,1169,1500,24,4080,616,86882,22568,8945,8162,3890,1446,5,19958,2675,3575,3406,14236,1370,13035,1072,2213,5729,2703,1286,714,785,1411,5033,8420,5599,7563,5303,788,65459,1430,348977,390577,---,7833,35220,---,---,10427,---,---,---,---,---,---,---,---,---,---,---,---,793034
514,"Data processing, internet publishing, and other information services",---,0,83,14,16,4987,4963,1311,1704,1280,2628,2015,218,769,784,1417,718,821,2715,143,38,1543,439,158,526,772,7486,10123,2306,1400,18119,918,1,0,265,232,141,1409,152,6475,223,5200,31566,23416,13098,2887,4965,1,2473,2080,5985,10187,26361,2177,47660,2936,5930,3175,6075,581,1423,1798,2320,1417,24100,14943,3353,10033,649,63551,6486,406136,161329,---,---,80749,---,---,8007,---,---,---,3655,---,---,---,4302,---,---,---,9317,673496
521CI,"Federal Reserve banks, credit intermediation, and related activities",5739,638,2936,966,678,8449,15529,1286,1261,1817,2447,2046,4057,1616,4443,1021,843,2355,4554,323,558,1373,783,633,5449,2351,44680,6637,2930,2426,12988,2367,6058,709,2568,7114,2991,3821,334,8343,3501,18365,10631,87109,89994,822,5219,149873,108482,22691,2601,5145,21884,32043,10432,1216,2038,8500,7522,1328,1285,1570,2993,7606,13377,14620,0,19894,1284,29162,6143,865446,414809,---,---,---,---,---,101321,---,---,---,---,---,---,---,---,---,---,---,---,1381576
523,"Securities, commodity contracts, and investments",465,12,2355,2981,8050,762,3188,50,92,2850,3107,2089,123,727,2618,542,788,889,156,5,1,37,34,20,25,103,4861,209,437,1116,1041,3849,579,1662,473,5921,392,2286,61,344,928,199,211,58015,68075,3210,173147,4,13933,8858,746,962,3597,16144,2299,68,804,2773,20395,650,3613,2061,200,8436,11873,5418,0,16,22,11915,8191,482065,341004,---,---,---,---,---,93357,---,---,---,---,---,---,---,---,---,---,---,---,916426
